"","Protein_ID","Species","Function","Appearances"
"385","P25635","Yeast","Periodic tryptophan protein 2","104"
"386","Q15269","Human","Periodic tryptophan protein 2 homolog","104"
"387","Q8VYZ5","Arabidopsis","Periodic tryptophan protein 2","104"
"388","F4IU60","Arabidopsis","Zinc ion binding protein","105"
"389","P25559","Yeast","Sister chromatid cohesion protein DCC1","105"
"390","Q9BVC3","Human","Sister chromatid cohesion protein DCC1","105"
"391","O48593","Arabidopsis","Asparagine--tRNA ligase, chloroplastic/mitochondrial","106"
"392","P25345","Yeast","Asparagine--tRNA ligase, mitochondrial","106"
"393","Q96I59","Human","Asparaginyl-tRNA synthetase","106"
"394","Q9SSK1","Arabidopsis","Asparagine--tRNA ligase, cytoplasmic 3","106"
"395","Q9SW96","Arabidopsis","Asparagine--tRNA ligase, cytoplasmic 1","106"
"396","O49543","Arabidopsis","Cysteine desulfurase, mitochondrial","107"
"397","P25374","Yeast","Cysteine desulfurase, mitochondrial","107"
"398","Q9Y697","Human","Cysteine desulfurase","107"
"399","O43709","Human","18S rRNA (guanine-N(7))-methyltransferase","108"
"400","P25627","Yeast","18S rRNA (guanine(1575)-N(7))-methyltransferase","108"
"401","Q9LVD0","Arabidopsis","18S rRNA (guanine-N(7))-methyltransferase RID2","108"
"402","A0A654GD80","Arabidopsis","Post-GPI attachment to proteins factor 3","109"
"403","P25625","Yeast","Protein PER1","109"
"404","Q96FM1","Human","Post-GPI attachment to proteins factor 3","109"
"405","Q9FX73","Arabidopsis","Post-GPI attachment to proteins factor 3","109"
"406","A5YKK6","Human","CCR4-NOT transcription complex subunit 1","110"
"407","F4HVV7","Arabidopsis","Transcription regulator","110"
"408","P25655","Yeast","General negative regulator of transcription subunit 1","110"
"409","O60931","Human","Cystinosin","111"
"410","P17261","Yeast","Cystine transporter","111"
"411","P57758","Arabidopsis","Cystinosin homolog","111"
"412","F4JTD2","Arabidopsis","Putative rRNA methyltransferase","112"
"413","P25582","Yeast","27S pre-rRNA (guanosine(2922)-2'-O)-methyltransferase","112"
"414","Q8IY81","Human","pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3","112"
"415","Q00796","Human","Sorbitol dehydrogenase","113, 586, 744"
"416","Q07786","Yeast","Sorbitol dehydrogenase 2","113"
"417","Q9FJ95","Arabidopsis","Sorbitol dehydrogenase","113, 586, 744"
"418","A0A654FUV1","Arabidopsis","EamA domain-containing protein","114, 784"
"419","Q04083","Yeast","Thiamine-repressible mitochondrial transport protein THI74","114"
"420","Q8WV83","Human","Solute carrier family 35 member F5","114, 784"
"421","P09950","Yeast","5-aminolevulinate synthase, mitochondrial","115"
"422","P22557","Human","5-aminolevulinate synthase, erythroid-specific, mitochondrial","115"
"423","Q8GW43","Arabidopsis","8-amino-7-oxononanoate synthase","115"
"424","Q03406","Yeast","DNA replication complex GINS protein SLD5","116"
"425","Q6NQP5","Arabidopsis","DNA replication complex GINS protein SLD5","116"
"426","Q9BRT9","Human","DNA replication complex GINS protein SLD5","116"
"427","A0A654GD02","Arabidopsis","Uncharacterized protein","117"
"428","Q06631","Yeast","Protein BFR2","117"
"429","Q9NY61","Human","Protein AATF","117"
"430","Q5HYJ1","Human","Trans-2,3-enoyl-CoA reductase-like","118"
"431","Q99190","Yeast","Very-long-chain enoyl-CoA reductase","118"
"432","Q9M2U2","Arabidopsis","Very-long-chain enoyl-CoA reductase","118"
"433","Q9NZ01","Human","Very-long-chain enoyl-CoA reductase","118"
"434","O00231","Human","26S proteasome non-ATPase regulatory subunit 11","119"
"435","Q12377","Yeast","26S proteasome regulatory subunit RPN6","119"
"436","Q9LP45","Arabidopsis","26S proteasome non-ATPase regulatory subunit 11 homolog","119"
"437","O64885","Arabidopsis","Protein BCCIP homolog","120"
"438","Q06338","Yeast","Protein BCP1","120"
"439","Q9P287","Human","BRCA2 and CDKN1A-interacting protein","120"
"440","A0A384LMS3","Arabidopsis","(thale cress) hypothetical protein","121"
"441","O95433","Human","Activator of 90 kDa heat shock protein ATPase homolog 1","121"
"442","Q12449","Yeast","Hsp90 co-chaperone AHA1","121"
"443","F4KAU9","Arabidopsis","TOM1-like protein 7","122"
"444","Q06336","Yeast","ADP-ribosylation factor-binding protein GGA1","122"
"445","Q6ZVM7","Human","TOM1-like protein 2","122"
"446","F4IDC2","Arabidopsis","Protein SLOW WALKER 2","123"
"447","Q03701","Human","CCAAT/enhancer-binding protein zeta","123"
"448","Q12176","Yeast","Ribosome biogenesis protein MAK21","123"
"449","F4JH76","Arabidopsis","DNA mismatch repair protein","124"
"450","P52701","Human","DNA mismatch repair protein Msh6","124"
"451","Q03834","Yeast","DNA mismatch repair protein MSH6","124"
"452","Q9SMV7","Arabidopsis","DNA mismatch repair protein MSH7","124"
"453","P26196","Human","Probable ATP-dependent RNA helicase DDX6","125"
"454","P39517","Yeast","ATP-dependent RNA helicase DHH1","125"
"455","Q8RXK6","Arabidopsis","DEAD-box ATP-dependent RNA helicase 8","125"
"456","Q94BV4","Arabidopsis","DEAD-box ATP-dependent RNA helicase 6","125"
"457","Q9M2E0","Arabidopsis","DEAD-box ATP-dependent RNA helicase 12","125"
"458","P0C2H7","Yeast","Large ribosomal subunit protein eL27B","126"
"459","P51419","Arabidopsis","Large ribosomal subunit protein eL27x","126, 528"
"460","P61353","Human","Large ribosomal subunit protein eL27","126, 528"
"461","Q8LCL3","Arabidopsis","Large ribosomal subunit protein eL27y","126, 528"
"462","Q9SKX8","Arabidopsis","Large ribosomal subunit protein eL27z","126, 528"
"463","A0A1P8BAL8","Arabidopsis","Histidine triad nucleotide-binding 3","127"
"464","P49773","Human","Adenosine 5'-monophosphoramidase HINT1","127"
"465","Q04344","Yeast","Adenosine 5'-monophosphoramidase HNT1","127"
"466","P12612","Yeast","T-complex protein 1 subunit alpha","128"
"467","P17987","Human","T-complex protein 1 subunit alpha","128"
"468","P28769","Arabidopsis","T-complex protein 1 subunit alpha","128"
"469","O60683","Human","Peroxisome biogenesis factor 10","129"
"470","Q05568","Yeast","Peroxisome biogenesis factor 10","129"
"471","Q9SYU4","Arabidopsis","Peroxisome biogenesis factor 10","129"
"472","P41810","Yeast","Coatomer subunit beta","130"
"473","P53618","Human","Coatomer subunit beta","130"
"474","Q9SV20","Arabidopsis","Coatomer subunit beta-2","130"
"475","Q9SV21","Arabidopsis","Coatomer subunit beta-1","130"
"476","P0CX51","Yeast","Small ribosomal subunit protein uS9A","131, 765"
"477","P62249","Human","Small ribosomal subunit protein uS9","131, 765"
"478","Q42340","Arabidopsis","Small ribosomal subunit protein uS9x","131, 765"
"479","Q9M8X9","Arabidopsis","Small ribosomal subunit protein uS9y","131, 765"
"480","Q9SK22","Arabidopsis","Small ribosomal subunit protein uS9z","131, 765"
"481","P28817","Yeast","Small ribosomal subunit protein mS47","132"
"482","Q6NMB0","Arabidopsis","Probable 3-hydroxyisobutyryl-CoA hydrolase 3","132"
"483","Q6NVY1","Human","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial","132"
"484","Q9T0K7","Arabidopsis","3-hydroxyisobutyryl-CoA hydrolase-like protein 3, mitochondrial","132"
"485","P17695","Yeast","Glutaredoxin-2","133"
"486","P35754","Human","Glutaredoxin-1","133"
"487","Q8L8T2","Arabidopsis","Glutaredoxin-C1","133"
"488","Q8LFQ6","Arabidopsis","Glutaredoxin-C4","133"
"489","Q9FNE2","Arabidopsis","Glutaredoxin-C2","133"
"490","Q9FVX1","Arabidopsis","Glutaredoxin-C3","133"
"491","O13525","Yeast","Ubiquinone biosynthesis protein COQ4, mitochondrial","134"
"492","Q9Y3A0","Human","Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial","134"
"493","Q9ZPR0","Arabidopsis","Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial","134"
"494","A0A5S9XZF4","Arabidopsis","FGGY family of carbohydrate kinase","135"
"495","Q04585","Yeast","D-ribulokinase YDR109C","135"
"496","Q96C11","Human","FGGY carbohydrate kinase domain-containing protein","135"
"497","A0A1P8B6G3","Arabidopsis","Proteasome component (PCI) domain protein","136"
"498","Q04062","Yeast","26S proteasome regulatory subunit RPN9","136"
"499","Q8RWF0","Arabidopsis","26S proteasome non-ATPase regulatory subunit 13 homolog A","136"
"500","Q9UNM6","Human","26S proteasome non-ATPase regulatory subunit 13","136"
"501","O14732","Human","Inositol monophosphatase 2","137"
"502","P29218","Human","Inositol monophosphatase 1","137"
"503","Q05533","Yeast","Inositol monophosphatase 2","137"
"504","Q9M8S8","Arabidopsis","Inositol-phosphate phosphatase","137"
"505","O95470","Human","Sphingosine-1-phosphate lyase 1","138"
"506","Q05567","Yeast","Sphingosine-1-phosphate lyase","138"
"507","Q9C509","Arabidopsis","Sphingosine-1-phosphate lyase","138"
"508","P00942","Yeast","Triosephosphate isomerase","139"
"509","P48491","Arabidopsis","Triosephosphate isomerase, cytosolic","139"
"510","P60174","Human","Triosephosphate isomerase","139"
"511","Q9SKP6","Arabidopsis","Triosephosphate isomerase, chloroplastic","139"
"512","F4I7I0","Arabidopsis","Alanine aminotransferase 1, mitochondrial","140, 670"
"513","P52892","Yeast","Probable alanine aminotransferase","140"
"514","Q8TD30","Human","Alanine aminotransferase 2","140, 670"
"515","Q9LDV4","Arabidopsis","Alanine aminotransferase 2, mitochondrial","140, 670"
"516","Q9LR30","Arabidopsis","Glutamate--glyoxylate aminotransferase 1","140, 670"
"517","Q9S7E9","Arabidopsis","Glutamate--glyoxylate aminotransferase 2","140, 670"
"518","P30049","Human","ATP synthase subunit delta, mitochondrial","141"
"519","Q12165","Yeast","ATP synthase subunit delta, mitochondrial","141"
"520","Q96252","Arabidopsis","ATP synthase subunit delta', mitochondrial","141"
"521","A0A1I9LTC4","Arabidopsis","RNA-binding (RRM/RBD/RNP motifs) family protein","142"
"522","O75526","Human","RNA-binding motif protein, X-linked-like-2","142"
"523","Q01560","Yeast","Serine/arginine (SR)-type shuttling mRNA binding protein NPL3","142"
"524","Q9FM47","Arabidopsis","RNA-binding (RRM/RBD/RNP motifs) family protein","142"
"525","O60725","Human","Protein-S-isoprenylcysteine O-methyltransferase","143"
"526","P32584","Yeast","Protein-S-isoprenylcysteine O-methyltransferase","143"
"527","Q93W54","Arabidopsis","Protein-S-isoprenylcysteine O-methyltransferase B","143"
"528","Q9FMW9","Arabidopsis","Protein-S-isoprenylcysteine O-methyltransferase A","143"
"529","P05756","Yeast","Small ribosomal subunit protein uS15","144"
"530","P59223","Arabidopsis","Small ribosomal subunit protein uS15z","144"
"531","P59224","Arabidopsis","Small ribosomal subunit protein uS15y","144"
"532","P62277","Human","Small ribosomal subunit protein uS15","144"
"533","A0A178WIM9","Arabidopsis","tRNA-5-taurinomethyluridine 2-sulfurtransferase","145"
"534","O75648","Human","Mitochondrial tRNA-specific 2-thiouridylase 1","145"
"535","Q12093","Yeast","Mitochondrial tRNA-specific 2-thiouridylase 1","145"
"536","O49289","Arabidopsis","Putative DEAD-box ATP-dependent RNA helicase 29","146"
"537","Q12389","Yeast","ATP-dependent RNA helicase DBP10","146"
"538","Q8TDD1","Human","ATP-dependent RNA helicase DDX54","146"
"539","A0A178UEI9","Arabidopsis","(thale cress) hypothetical protein","147"
"540","Q01658","Human","Protein Dr1","147"
"541","Q92317","Yeast","Negative cofactor 2 complex subunit beta","147"
"542","Q9LEY8","Arabidopsis","DR1-like protein","147"
"543","P40327","Yeast","26S proteasome regulatory subunit 4 homolog","148"
"544","P62191","Human","26S proteasome regulatory subunit 4","148"
"545","Q9SL67","Arabidopsis","26S proteasome regulatory subunit 4 homolog B","148"
"546","Q9SZD4","Arabidopsis","26S proteasome regulatory subunit 4 homolog A","148"
"547","P53621","Human","Coatomer subunit alpha","149"
"548","P53622","Yeast","Coatomer subunit alpha","149"
"549","Q94A40","Arabidopsis","Coatomer subunit alpha-1","149"
"550","Q9SJT9","Arabidopsis","Coatomer subunit alpha-2","149"
"551","O22145","Arabidopsis","Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial","150"
"552","P43122","Yeast","tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial","150"
"553","Q9H4B0","Human","tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial","150"
"554","A0A384LJI7","Arabidopsis","DNA-directed RNA polymerase subunit","151"
"555","A0A654FM67","Arabidopsis","DNA-directed RNA polymerase subunit","151"
"556","Q04307","Yeast","DNA-directed RNA polymerase III subunit RPC10","151"
"557","Q9Y2Y1","Human","DNA-directed RNA polymerase III subunit RPC10","151"
"558","P0C2H8","Yeast","Large ribosomal subunit protein eL31A","152"
"559","P51420","Arabidopsis","Large ribosomal subunit protein eL31x","152, 729"
"560","P62899","Human","Large ribosomal subunit protein eL31","152, 729"
"561","Q9SLL7","Arabidopsis","Large ribosomal subunit protein eL31z","152, 729"
"562","Q9STR1","Arabidopsis","Large ribosomal subunit protein eL31y","152, 729"
"563","A0A178VYY9","Arabidopsis","(thale cress) hypothetical protein","153"
"564","F4HP91","Arabidopsis","PIN domain-like family protein","153"
"565","Q05498","Yeast","rRNA-processing protein FCF1","153"
"566","Q9Y324","Human","rRNA-processing protein FCF1 homolog","153"
"567","P21695","Human","Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic","154, 932"
"568","Q00055","Yeast","Glycerol-3-phosphate dehydrogenase [NAD(+)] 1","154"
"569","Q8N335","Human","Glycerol-3-phosphate dehydrogenase 1-like protein","154, 932"
"570","Q9SCX9","Arabidopsis","Glycerol-3-phosphate dehydrogenase [NAD(+)] 1, chloroplastic","154, 932"
"571","P61221","Human","ATP-binding cassette sub-family E member 1","155"
"572","Q03195","Yeast","Translation initiation factor RLI1","155"
"573","Q8LPJ4","Arabidopsis","ABC transporter E family member 2","155"
"574","Q9LID6","Arabidopsis","ABC transporter E family member 1","155"
"575","A0A6Q8PGB0","Human","DNA-directed RNA polymerase subunit","156"
"576","P04050","Yeast","DNA-directed RNA polymerase II subunit RPB1","156"
"577","P18616","Arabidopsis","DNA-directed RNA polymerase II subunit RPB1","156"
"578","P15565","Yeast","tRNA (guanine(26)-N(2))-dimethyltransferase, mitochondrial","157"
"579","Q9LFU5","Arabidopsis","tRNA (guanine(26)-N(2))-dimethyltransferase 1","157"
"580","Q9NXH9","Human","tRNA (guanine(26)-N(2))-dimethyltransferase","157"
"581","Q9SRU7","Arabidopsis","tRNA (guanine(26)-N(2))-dimethyltransferase 2","157"
"582","P26373","Human","Large ribosomal subunit protein eL13","158, 767"
"583","P41127","Arabidopsis","Large ribosomal subunit protein eL13z","158, 767"
"584","Q12690","Yeast","Large ribosomal subunit protein eL13A","158"
"585","Q9FF90","Arabidopsis","Large ribosomal subunit protein eL13x","158, 767"
"586","Q9SMT4","Arabidopsis","Large ribosomal subunit protein eL13y","158, 767"
"587","P02400","Yeast","Large ribosomal subunit protein P2B","159"
"588","P05387","Human","Large ribosomal subunit protein P2","159, 906"
"589","P51407","Arabidopsis","Large ribosomal subunit protein P2z","159, 906"
"590","Q9LH85","Arabidopsis","Large ribosomal subunit protein P2x","159, 906"
"591","Q9LUK2","Arabidopsis","Large ribosomal subunit protein P2v","159, 906"
"592","Q9LXM8","Arabidopsis","Large ribosomal subunit protein P2w","159, 906"
"593","Q9SLF7","Arabidopsis","Large ribosomal subunit protein P2y","159, 906"
"594","A0A1I9LSB4","Arabidopsis","Ribosomal L29 family protein","160, 251"
"595","F4KDR2","Arabidopsis","Ribosomal L29 family protein","160, 251"
"596","O80626","Arabidopsis","Large ribosomal subunit protein uL29y","160, 251"
"597","P0CX84","Yeast","Large ribosomal subunit protein uL29A","160, 251"
"598","P42766","Human","Large ribosomal subunit protein uL29","160, 251"
"599","Q9SF53","Arabidopsis","Large ribosomal subunit protein uL29z","160, 251"
"600","F4JB06","Arabidopsis","Ribosomal protein S5/Elongation factor G/III/V family protein","161, 982"
"601","P13639","Human","Elongation factor 2","161, 982"
"602","P32324","Yeast","Elongation factor 2","161, 982"
"603","Q9ASR1","Arabidopsis","Elongation factor 2","161, 982"
"604","A0A178WNN3","Arabidopsis","GPI-anchor transamidase","162"
"605","P49018","Yeast","GPI-anchor transamidase","162"
"606","Q92643","Human","GPI-anchor transamidase","162"
"607","Q03941","Yeast","Dephospho-CoA kinase CAB5","163"
"608","Q8WVC6","Human","Dephospho-CoA kinase domain-containing protein","163"
"609","Q9ZQH0","Arabidopsis","Dephospho-CoA kinase","163"
"615","A0A1B0GUH1","Human","Aminomethyltransferase","165"
"616","O65396","Arabidopsis","Aminomethyltransferase, mitochondrial","165"
"617","P48015","Yeast","Aminomethyltransferase, mitochondrial","165"
"618","P48728","Human","Aminomethyltransferase, mitochondrial","165"
"619","P06782","Yeast","Carbon catabolite-derepressing protein kinase","166"
"620","Q13131","Human","5'-AMP-activated protein kinase catalytic subunit alpha-1","166"
"621","Q9LVL5","Arabidopsis","Probable serine/threonine-protein kinase WNK4","166"
"622","O43681","Human","ATPase GET3","167"
"623","Q12154","Yeast","ATPase GET3","167"
"624","Q949M9","Arabidopsis","ATPase GET3A","167"
"625","Q06679","Yeast","U3 small nucleolar RNA-associated protein 4","168"
"626","Q8RXU6","Arabidopsis","WD repeat-containing protein PCN","168"
"627","Q8VYS4","Arabidopsis","Transducin family protein / WD-40 repeat family protein","168"
"628","Q969X6","Human","U3 small nucleolar RNA-associated protein 4 homolog","168"
"629","Q04149","Yeast","Crossover junction endonuclease MUS81","169"
"630","Q5W9E7","Arabidopsis","Crossover junction endonuclease MUS81","169"
